content,target_type
hallo canva sangat bagus saya suka tetapi mohon di baik ya kasih bintang dulu soal terkadang lemott canva nya terima kasih,1
bagus,1
kereeen,1
amazing,1
keren,1
saya suka canva namun entah jalan pada desktop maupun aplikasi android tetap lot padahal koneksi sangat aman simpan aman dan saya biasa tutup tab aplikasi yang tidak guna saya juga rajin update aplikasi namun canva tetap jalan berat lama untuk proses unduh bahkan untuk cari elemen saja kadang tidak jalan tolong segera baik banyak teman saya yang guna canva keluh hal sama,0
ok sangat bantu cantik,1
bagus sekali apakah nya saya suka,1
bagus,1
i so likeddd seru seru,1
keren,1
bagus,1
amazing,1
bagus,1
bagus sekali,1
amazing,1
suka karena bisa riqwes warna hijau,1
sangat keren,1
bagus,1
oke,1
leg sangat,0
bagus,1
sangat bantu untuk ajar,1
sangat bagus,1
kereeeennn,1
dari bintang satu sampai tujuh,1
masih coba karena masih mula,1
sangat bantu n luar biasa terima kasih,1
sangat bguss saya sukaa ngedit di sini,1
oo bagus,1
bagus,1
bagus sangat sangat bantu,1
lama amat ngunduhnya amit amit saya capai tahu tidak nunggu,0
sangat guna untuk saya yang masih mula,1
kurang apakah ini kalau mau kembali malah kek baru masuk apakah nya,1
susah juga operasi canva,1
bagus,1
fitur nya sangat bagus,1
sangat bantu,1
sgtttt mmbntu apakah nyaa tidak sesal download apakah canvaaaaaa terima kasih you canvaaa,1
aplikasi ini sangat bagus sekali dan banyak bantu utama untuk presentasi ajar moga depan tambah bagus lagi,1
nice,1
good job,1
aplikasi yang mudah jalan,1
sangat bagus,1
bagusss,1
bagus,1
keren,1
sangat bantu,1
bagus baget puas dengan hasil,1
alas kasih bintang tidak bisa log in akun ajar di aplikasi aplikasi lambat bangettt padahal internet bagus dan simpan masih banyak suka ngelag mohon diperbaikiiiiiiiii,0
mantappp,1
baik,1
aplikasi nya bagusss,1
aplikasi bagus lengkap juga tetapi sygnya suka ngelag,1
oke,1
canva bagus simple bravo,1
baik,1
good,1
bagus banyak stiker dan templatenya jadi enak deh tidak usah repot ngedit sendiri,1
ini sangat guna sekali,1
sangat bantu bagus untuk ajar,1
aplikasi nya sangat rekomendasi untuk edit foto,1
mantap sangat mudah dan bantu kerja,1
aduh sayang sekali lambat lot,0
ini sangat bi,1
bagus,1
gaga bet,1
ini kalau premium satu kali bayar atau bulan sih kalau satu kali bayar ya oke kapan waktu beli,1
sangat bagus,1
good,1
bagus,1
sangat bantu dalam buat presentasi dan mudah,1
fagus,1
sangat bagus,1
ok,1
sengaja ya bikin saya marah,0
bagusss babgettttttt,1
cari ide buat logo jadi mudah,1
sangat bantu,1
lumayan kadang mas ada bug,1
bagus,1
sangat bagus,1
anak desing grafis butuh bngett ini bagus bagus,1
apakah nya bagus,1
keren,1
lumayannn bagusss,1
sangat bantu untuk kerja tugas sekolah,1
keren sangat jadi gampang kalau bikin poster,1
mantap,1
aplikasi lag padahal jaring bagus bikin emosi saja,0
aplikasi yang sangat bagus dan manfaat sedia template banyak dan tinggal pakai mantabbbb,1
sungguh gembira dapat cipta karya yang takjub di canva,1
belum paham cara buat theme dengan app ini,1
keren ngebantu sekali yang buka usaha,1
bagus sekali aplikasi canva karena di sini kamu bisa dapat ide apa yang tarik yuk cobain,1
baik,1
ajib,1
aplikasi yang sangat bantu untuk editing foto,1
baik,1
saya kasih bintang dulu kalau edit video fto dan logo nya bagus baru saya kasih bintang full,1
sangat bguss,1
nice,1
baik,0
saya sangat suka dengan aplikasi canva ini sangat mudah saya untuk mebuat desain poster sticker bahkan untuk postingan di instagram saya guna pun mudah tidak ribet dan bisa di guna cara free juga jika mau upgrade ke premium baru di bayar dan di bayar cukup murah turut saya moga makin bagus depan,1
mudah cepat dan keren sangat bantu saya dalam dunia editing,1
lebih bagus lagi kalau gratis,1
bagus tetapi buat hp lot,1
mantap,1
sumpah bantu sekali saat lagi urgent bikin poster buat izin canva solusi baik,1
andry kasih bntang dulu,0
aplikasi yang sangat bagus dan bantu untuk freelance,1
bagus sekali,1
bagus n keren bantu design cepat,1
baik,1
bagus,1
saya suka sangat karena praktis,1
the best,1
bagus,1
turut saya canva memeberikan nuansa yang baru dan mudah untuk editing photo dan vidio,1
mantul,1
sangat bagus,1
aplikasi keren buat kreasi baik mula maupun yang sudah pro dan sangat bantu buat semua konten,1
canva ini sangat bagus tetapi harus online saran saya ada mode offline,1
sangat bantu dalam buat tugas,1
luar biasa jadi mudah edit foto vidio,1
mudah dan gratis mudah umkm,1
sangat bantu kerja desain,1
bagus,1
good,1
lumayan,1
sangat bantu,1
mantap,1
sangat bantu,1
baikla untuk kali ini saya kasih bintang hanya ukur kenapa muncul di bagi bawah sekali ya agak susah klik,1
bagusss,0
mantap,1
bagusss,1
good,1
di android versi error terus tidak bisa masuk akun ajar id,0
jossss,1
sangat bantu,1
ok,1
saya senang guna aplikasi ini,1
mantaf,1
bagus,1
ok,0
bagai guna saya mau tanya kenapa tiap saya beri fitur patok bagi baris selalu tidak muncul tanya please butuh sekali bantu,1
luarbiasaa,1
saya pakai canva selalu tidak bisa makanya saya pakai hp uti saya,0
bagus mah,1
sangat bantu untuk desain mula ok deh,1
mantap,1
mantap,1
kenapa ya telah di instal tidak bisa di buka hanya muncul layar putih dan tulis canva mohon jelas,0
sangat bagus,1
mantap,1
sangat bantu untuk yang tidak bisa desain,1
bagussss sangat,1
sangat bagus,1
mantap,1
bagus keren dan tarik,1
mantap,1
cukup bintang karena sempurna itu hany milik allah,1
bagus hasil,1
senang sekali bisa mudah edit dengan hp,1
cakap gambar nya,1
puas sekali,1
baik,0
mantul,1
bagus,1
bagus,1
mateb,1
good,1
apliaksi yang bagus sbnar nya tetapi harus bayar sangat tidak rekomendet,0
keren aplikasi sangat suka,1
bagus sangat sbnernya tetapi mau pindah ke pro sudah mau bayar via google dana tetap saja error yatuhan,1
sementara ini aplikasi bagus tidak ada masalah tetap tahan good job,1
aplikasi yang bagus,1
saya sangat suka aplikasi ini,1
keren,1
moga makin keren,1
good,1
saya izin saran supaya ada kembang untuk bisa warna font bisa gradiasi terima kasih kami desainer sangat bantu untuk hasil karya yang maksimal mengunakan canva,1
canva bagus sih tetapi kenapa sering bug sih tanya sudah premium loo desain saya hilang kali tidak bisa di save seru jadi kerja ulang buang waktu waktu di restart malah hilang tolong baik pleaseee,0
bagus,1
bagus tetapi agak ribet,1
kok tidak bisa aplot logo facebook ya,1
good,1
pakai canva kek gimana begitu misal ya saya mencet yang a eh malah jadi mencet yang b kek ngelag begitu padahal wifi lancar jaya tetapi ko bisa begitu ya tanya,0
mantap langsung tunai,1
baguss,1
aplikasi yang sangat manfaat,1
mantap,1
the app is very slow to use app a sangat lambat guna,0
bagus sekali,1
good,1
bagus sekali ini aplikasi nya,0
canva adalah aplikasi yang bagus untuk iklan produk atau karya kita mantap canva,1
bagusss bangetttt canva kerenn,1
sangat bagus untuk di pakai,1
bagus,1
lalap dengan boi login jirrrrrrr,0
lot,0
canva meudahkan kerja editor,1
sangat bagus sekali,1
bagus nih,1
bagus sekali gampang juga,1
pokok ini nih baguss sangat,1
bagus,1
bguss,1
mantapppll,1
wow,0
saya di potong tiap bulan tolong jelas padahal sudah unistal langgan otomatis sendri,0
kak saran dong bayar canva jangan cuma lewat kartu kredit karena mungkin banyak dari teman yang tidak punya kartu kredit tolong mudah dalam bayar kak,1
terima kasih atas bantu,1
canva sangatembantundalam tugas tugas sayav,1
ibarat nya gin wirr kita tidak punya laptop tetapi kita punya canva,1
goodd i like itu,1
i like for apakah,1
bagus,1
bagus sekali,1
aplikasi sangat bagus tetapi dipakenya lot moga pihak kembang bisa segera atas masalah sebut,0
sangat bantu tugas kuliah sayaaa,1
aplikasi yang bagus untuk edit poster,1
aplikasi ini sangat bantu dalam kerja tugas saya terima kasih canva,1
aplikasi sangat bantu saya dalam kerja sangat mudah guna dan milik banyak varian template yang tarik,1
good,1
sering eror saat proses edit,0
sangat manfaat syukron,1
joooos top sangat,1
cukup muas,1
mantap,1
harus banyak ajar lagi,1
keren,1
bagus sekali untuk buat bahan ajar,1
aplikasi yang sangat bantu,1
bagus,1
lumayan bagus,1
saya sangat senang guna aplikasi ini tugas kantor jadi mudah untuk di kerja keeerreeenn laahh pokok,1
bagus sekali,1
mantap untuk di guna,1
keren,1
kenapa harus ada premium sihhh saya mau buat struktur kelas malah semua bayar jadi tidak bisa buat dehh,0
sangat bagus dan sangat bantu jika saya sedang ada tugas sekolah saya inti aplikasi baguss bngttt bngtt,1
sangat baik dan manfaat,1
bagus sangat bantu,1
aplikasi bagus,1
sangat bagus,1
keren bantu,1
baguss template nya juga lucu lucu,1
bagus,1
awwaa,1
bagus sekali,1
mantap,1
canva sangat bantu terima kasih canva,1
sangat bantu dalam urus saya terima kasih,1
keren bgttt mudah segala urus dalam kerja,1
sagat bantu kalau sedang kerja pr,1
bguss,1
cakkkepp sangat ni aplikasi,1
aplikasi bagus sangat bantu saat edit,1
aplikasi sangat bagus,0
topp,1
oke juga aplikasi sangat bantu,1
canva keren apalagi sejak ada studio ajaib tetapi tolong dong fitur luas ajaib baik sudah dua hari ini tidak bisa guna mohon baik segera karena fitur itu bantu sekali terima kasih canva,1
bagus sekali bantu,1
mantap,1
suka dan sangat bantu utama untuk mula mudah guna ada ribu template dan video yang sedia dan siap guna desain mewah dan tarik,1
aplikasi bagus sangat,1
sangat bagus,1
bagus bantu mungkin cuma sangat lambat agak sedikit ribet bagi mula,0
sangat manfaat,1
sangat bantu dalam ajar paud,1
baik,1
bagus sekali dan gampang,1
baik,1
test dulu,1
aplikasi canva sangat tarik banyak edit video foto dan logo yang lebih bagus,1
mantap desain apa yang buat dengan imajinasi akan penuh,1
baguss,1
sangat tarik,1
sangat baik,1
ok si,1
alhamdulillah sangat manfaat,1
sangat bantu,1
keren,1
sangat puas canva bantu saya untuk edit tugas,1
aplikasi bagus,1
aplikasi ini sangat bantu saya dalam desain dan tentu hasil desain pun sangat muas saya kasih bintang the best,1
food,1
ada banyak fitur yang sangat bantu dalam buat desain pilih elementnya juga banyak tetapi akhir akhir ini jalan sangat lambat untuk unggah mendownload bahkan hanya untuk buka desain perlu waktu cukup lama padahal koneksi intermellnet lancar dan memori sisa banyak untuk developer tolong baik lagi masalah kait makin lama canva dalam merespon perintah terima kasih,0
bagus,1
kerja bagus,1
aplikasi ini sangat bantu untuk buat poster poster yang bagus,1
simpel manfaat terima kasih canva,1
bagus,1
sering susah masuk pk ajar id,0
kalau bisa kasi tutorial nya dong memang bagus ini apl nya tetapi tidak bisa cara makenya,1
ok,1
sangat bantu,1
top,1
sangat siple,1
bagus syekalii,0
aplikasi ini bagus dapat bantu siswa yang ingin buat desain cover buku tolong lebih kembang lagi ini sudah sangat bagus kok semangat ya,1
sangat mensupport dalam segala aktivitas kerja,1
bagus,1
bagussy,1
aplikasih ini sangat bantu bagi saya,0
yupzx,1
mudah untuk edit,1
jelek,0
oke sekali pokok mah,1
tidak bisa masuk rudeut,0
bagus cuma suka ngelag sedikit,1
i like,1
bagus komplet dan simpel,1
ok,1
canva keren,1
tarik dan senang,1
cepat sederhana hasil baik,1
bagus,1
untuk fitur fitur yang ada di dalam sudah bagus tetapi tolong kepada developer baik bugnya yaitu jaring padahal jaring di rumah sudah sangat bagus tetapi pada saat edit vidio tugas lot sekali tolong segera baik soal banyak tugas,1
moga manfaat terima kasih,1
a ml,0
keren,1
sangat guna,1
apa nya bgss,1
maaf untuk bintang nya ini kenapa saldo saya tarik yaa besar ribu padahal sudah tidak ada langgan lagi,1
sangat bagus,1
the best,1
best,1
not bad but not good,1
ok,1
mantaf,1
baik,1
mantap,1
terima kasih telah batu presentasi kami,1
sangat bantu,1
cukup bagus dan tarik buat edit,1
benar bagus tetapi dia agak lambat,0
kereeen,1
bagus,1
keren,1
baik,0
easy,1
kren appsnya,1
good,1
keren,1
sngat luar biasa bantu,1
gacor kang,1
aplikasi bagus tetapi banyak lag jika di android tetapi kalau di chrome tidak ada lag sama sekali,1
baguss sangat keren canva bisa bantu buat tugas ah perfek pokok,1
sangat bagus,1
bguss sangat,1
mantap,0
kini tak perlu sulit lagi kalau ingin buat walpaper stiker video kartu ucap dan bagai cukup canva saja di google play store,1
tidak bagus terlalu jelek,0
terms kasih,1
saya sudah coba canva di leptop saya bagus sekali jadi saya donlod di hp,1
keren,1
sangat muas dari aplikasi canva,1
mantap,1
aplikasi sangat buruk karena lot padahal jaringanya bagus,0
moga di tf ke kan sudah di kasi bintang,1
sangat muas,1
verry good,1
